Entity,Code,Year,Geo Biomass Other - TWh,Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh
Other Asia Pacific (BP),,2018,0.5520319938659668,0.578336238861084,0.39828646183013916,69.87731170654297
Other Asia Pacific (BP),,2019,0.6104171276092529,0.8370724320411682,0.5332090854644775,64.85699462890625
Other Asia Pacific (BP),,2020,0.5732179284095764,1.110617995262146,0.5253048539161682,71.38964080810547
Other Asia Pacific (BP),,2021,0.606449544429779,1.49408757686615,0.5176712274551392,74.64311218261719
Other Asia Pacific (BP),,1965,,,,10.045999526977539
Other Asia Pacific (BP),,1966,,,,10.029000282287598
Other Asia Pacific (BP),,1967,,,,10.241000175476074
Other Asia Pacific (BP),,1968,,,,10.258000373840332
Other Asia Pacific (BP),,1969,,,,10.345999717712402
Other Asia Pacific (BP),,1970,,,,10.376999855041504
Other CIS (BP),,1990,0,0,0,28.697999954223633
Other CIS (BP),,1991,0,0,0,28.35300064086914
Other CIS (BP),,1992,0,0,0,28.490999221801758
Other CIS (BP),,1993,0,0,0,30.85300064086914
Other CIS (BP),,1994,0,0,0,32.215999603271484
Other CIS (BP),,1995,0,0,0,27.961000442504883
Other CIS (BP),,1996,0,0,0,29.093000411987305
Other CIS (BP),,1997,0,0,0,26.4060001373291
Other CIS (BP),,1998,0,0,0,25.957000732421875
Other CIS (BP),,1999,0,0,0,29.31800079345703
Other CIS (BP),,2000,0,0,0,29.3799991607666
Other CIS (BP),,2001,0,0,0,27.975000381469727
Other CIS (BP),,2002,0,0,0,28.02199935913086
Other CIS (BP),,2003,0,0,0,31.76300048828125
Other CIS (BP),,2004,0,0,0,32.7692985534668
Other CIS (BP),,2005,0,0,0,33.130401611328125
Other CIS (BP),,2006,0,0,0.0026000000070780516,32.55220031738281
Other CIS (BP),,2007,0,0,0.002899999963119626,33.33359909057617
Other CIS (BP),,2008,0,0,0.0019000000320374966,28.767000198364258
Other CIS (BP),,2009,0,0.000007375000222964445,0.00430000014603138,28.400699615478516
Other CIS (BP),,2010,0,0.00008062500273808837,0.004100000020116568,30.645599365234375
Other CIS (BP),,2011,0,0.00016599999798927456,0.003000000026077032,33.36709976196289
Other CIS (BP),,2012,0,0.0011238210136070848,0.00419999985024333,33.69390106201172
Other CIS (BP),,2013,0.0035000001080334187,0.004207749851047993,0.0032999999821186066,32.65510177612305
Other CIS (BP),,2014,0.013000000268220901,0.008120750077068806,0.004999999888241291,31.87820053100586
Other CIS (BP),,2015,0.014999999664723873,0.010448750108480453,0.00570000009611249,30.391000747680664
Other CIS (BP),,2016,0.014000000432133675,0.01076770480722189,0.004999999888241291,30.671499252319336
Other CIS (BP),,2017,0.023000000044703484,0.010143750347197056,0.009100000374019146,33.89080047607422
Other CIS (BP),,2018,0.029999999329447746,0.015843750908970833,0.024900000542402267,35.30690002441406
Other CIS (BP),,2019,0.03099999949336052,0.07144375145435333,0.046300001442432404,35.70029830932617
Other CIS (BP),,2020,0.027899999171495438,0.06776496767997742,0.05270000174641609,34.6696891784668
Other CIS (BP),,2021,0.026769839227199554,0.104227215051651,0.07117968797683716,35.552276611328125
Other CIS (BP),,1985,,,,22.38867950439453
Other CIS (BP),,1986,,,,20.643016815185547
Other CIS (BP),,1987,,,,21.120311737060547
Other CIS (BP),,1988,,,,29.119426727294922
Other CIS (BP),,1989,,,,25.915361404418945
Other Caribbean (BP),,1971,0.9700000286102295,0,0,0.921999990940094
Other Caribbean (BP),,1972,0.8309999704360962,0,0,0.9290000200271606
Other Caribbean (BP),,1973,0.9779999852180481,0,0,0.8550000190734863
Other Caribbean (BP),,1974,0.984000027179718,0,0,0.8289999961853027
Other Caribbean (BP),,1975,1.0119999647140503,0,0,0.7710000276565552
Other Caribbean (BP),,1976,1.1030000448226929,0,0,1.1660000085830688
Other Caribbean (BP),,1977,1.1929999589920044,0,0,0.8149999976158142
Other Caribbean (BP),,1978,1.3389999866485596,0,0,1.1430000066757202
Other Caribbean (BP),,1979,1.2890000343322754,0,0,1.38100004196167
Other Caribbean (BP),,1980,1.2920000553131104,0,0,1.0540000200271606
Other Caribbean (BP),,1981,1.3079999685287476,0,0,1.8389999866485596
Other Caribbean (BP),,1982,1.406000018119812,0,0,1.2170000076293945
Other Caribbean (BP),,1983,1.5149999856948853,0,0,1.3760000467300415
Other Caribbean (BP),,1984,1.2890000343322754,0,0,1.6339999437332153
Other Caribbean (BP),,1985,1.2089999914169312,0,0,1.621999979019165
Other Caribbean (BP),,1986,1.2660000324249268,0,0,2.055000066757202
Other Caribbean (BP),,1987,1.3040000200271606,0,0,2.2330000400543213
Other Caribbean (BP),,1988,1.4220000505447388,0,0,2.4649999141693115
Other Caribbean (BP),,1989,1.3890000581741333,0,0,1.3049999475479126
Other Caribbean (BP),,1990,1.6038421392440796,0,0,1.25600004196167
Other Caribbean (BP),,1991,1.3678420782089233,0,0,1.2920000553131104
Other Caribbean (BP),,1992,1.4700000286102295,0,0,1.315000057220459
Other Caribbean (BP),,1993,1.0640000104904175,0,0.0017171719809994102,1.7050000429153442
Other Caribbean (BP),,1994,1.13100004196167,0,0.007777777966111898,0.9369999766349792
Other Caribbean (BP),,1995,0.9549999833106995,0,0.007777777966111898,1.1052000522613525
Other Caribbean (BP),,1996,1.2281711101531982,0,0.007365622092038393,1.4684507846832275
Other Caribbean (BP),,1997,1.184999942779541,0,0.008021527901291847,1.1900615692138672
Other Caribbean (BP),,1998,1.0464756488800049,0,0.009122949093580246,1.7719732522964478
Other Caribbean (BP),,1999,1.224120020866394,0.00010101000225404277,0.011434835381805897,2.439964532852173
Other Caribbean (BP),,2000,1.3420064449310303,0.00012399999832268804,0.03954971581697464,1.550694465637207
Other Caribbean (BP),,2001,1.2759288549423218,0.0003239999932702631,0.04807782173156738,1.373568058013916
Other Caribbean (BP),,2002,1.1905121803283691,0.00033999999868683517,0.060919370502233505,1.727742075920105
Other Caribbean (BP),,2003,0.9726245403289795,0.00033999999868683517,0.06469161063432693,2.1983702182769775
Other Caribbean (BP),,2004,1.0603671073913574,0.000455000001238659,0.09531646221876144,2.2901952266693115
Other Caribbean (BP),,2005,0.766047477722168,0.005368138197809458,0.10666035860776901,2.6037580966949463
Other Caribbean (BP),,2006,0.7641369104385376,0.004724268801510334,0.12277725338935852,2.516979455947876
Other Caribbean (BP),,2007,0.8032277822494507,0.007122111041098833,0.12855733931064606,2.3470797538757324
Other Caribbean (BP),,2008,0.8880072832107544,0.01079688873142004,0.1389695107936859,2.0848238468170166
Other Caribbean (BP),,2009,0.9026387333869934,0.019972989335656166,0.19326406717300415,2.1996634006500244
Other Caribbean (BP),,2010,0.7716360688209534,0.045028939843177795,0.28103959560394287,2.0673940181732178
Other Caribbean (BP),,2011,0.8183924555778503,0.08588898181915283,0.3504490852355957,2.1441361904144287
Other Caribbean (BP),,2012,0.967568039894104,0.20149828493595123,0.5322003960609436,2.3809564113616943
Other Caribbean (BP),,2013,1.1126682758331299,0.2441851943731308,0.9245995879173279,2.452678918838501
Other Caribbean (BP),,2014,0.9372779130935669,0.3177046477794647,0.9961457252502441,1.7748956680297852
Other Caribbean (BP),,2015,1.013756275177002,0.42386218905448914,1.0904171466827393,1.3626974821090698
Other Caribbean (BP),,2016,0.998458206653595,0.5257827639579773,1.0855133533477783,1.9141830205917358
Other Caribbean (BP),,2017,1.0598115921020508,0.6821860671043396,1.2514618635177612,2.701634645462036
Other Caribbean (BP),,2018,0.9939303398132324,0.8068815469741821,1.4113949537277222,2.4345743656158447
Other Caribbean (BP),,2019,1.2428865432739258,1.295717477798462,1.8158965110778809,1.6325188875198364
Other Caribbean (BP),,2020,1.2156481742858887,1.8180831670761108,2.146696090698242,1.7792551517486572
Other Caribbean (BP),,2021,1.2525596618652344,2.3854453563690186,2.307194709777832,1.9883687496185303
Other Caribbean (BP),,1965,,,,0.36500000953674316
Other Caribbean (BP),,1966,,,,0.4129999876022339
Other Caribbean (BP),,1967,,,,0.32199999690055847
Other Caribbean (BP),,1968,,,,0.3310000002384186
Other Caribbean (BP),,1969,,,,0.35199999809265137
Other Caribbean (BP),,1970,,,,0.4189999997615814
Other Europe (BP),,1971,0,0,0,16.523876190185547
Other Europe (BP),,1972,0,0,0,19.06574058532715
Other Europe (BP),,1973,0,0,0,17.70460319519043
Other Europe (BP),,1974,0,0,0,22.14146614074707
Other Europe (BP),,1975,0,0,0,21.092330932617188
Other Europe (BP),,1976,0,0,0,22.629194259643555
Other Europe (BP),,1977,0,0,0,26.728057861328125
Other Europe (BP),,1978,0,0,0,27.771921157836914
Other Europe (BP),,1979,0,0,0,29.432783126831055
Other Europe (BP),,1980,0,0,0,31.64264678955078
Other Europe (BP),,1981,0,0,0,28.533702850341797
Other Europe (BP),,1982,0,0,0,26.841758728027344
Other Europe (BP),,1983,0,0,0,25.22681427001953
Other Europe (BP),,1984,0,0,0,28.830869674682617
Other Europe (BP),,1985,0,0,0,33.012699127197266
Other Europe (BP),,1986,0,0,0,37.545654296875
Other Europe (BP),,1987,0,0,0,38.675289154052734
Other Europe (BP),,1988,0,0,0,38.68767547607422
Other Europe (BP),,1989,0,0,0,35.642398834228516
Other Europe (BP),,1990,0,0,0,23.28519630432129
Other Europe (BP),,1991,0,0,0,28.506134033203125
Other Europe (BP),,1992,0,0,0,24.70171356201172
Other Europe (BP),,1993,0,0,0.000427272985689342,22.613780975341797
Other Europe (BP),,1994,0,0,0.000611110997851938,25.488779067993164
Other Europe (BP),,1995,0,0,0.0005757579929195344,25.60166358947754
